index,Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Embedding Dimensions,Max Tokens,Average,BIOSSES,SICK-R,STS12,STS13,STS14,STS15,STS16,STS17 (en-en),STS22 (en),STSBenchmark
174,91,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-large"">multilingual-e5-large</a>",560,2.09,1024,514,81.62,82.49,80.23,80.02,81.55,77.72,89.31,85.79,88.12,63.66,87.29
26,92,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-small-en-v1.5"">bge-small-en-v1.5</a>",33,0.12,384,512,81.59,83.75,79.41,77.44,82.98,81.84,87.26,84.93,87.15,65.3,85.86
306,93,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/new-embedding-models-and-api-updates"">text-embedding-3-small</a>",,,1536,8191,81.58,88.72,76.73,73.09,84.92,79.81,88.01,84.41,90.94,64.96,84.24
56,94,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/KeyurRamoliya/multilingual-e5-large-GGUF"">multilingual-e5-large-GGUF</a>",,,,,81.56,82.51,80.23,80.02,81.55,77.72,89.31,85.78,88.12,63.06,87.29
126,95,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/amazon/Titan-text-embeddings-v2"">Titan-text-embeddings-v2</a>",,,,,81.54,87.13,76.49,75.0,87.91,82.26,87.87,80.92,87.23,68.59,81.95
179,96,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-1b1"">udever-bloom-1b1</a>",,,1536,2048,81.52,84.65,79.92,75.8,83.62,78.73,86.41,84.5,89.95,65.81,85.79
290,97,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/zeroshot/gte-small-quant"">gte-small-quant</a>",,,,,81.5,87.81,77.31,73.99,84.23,80.09,88.2,83.61,87.8,66.84,85.13
19,98,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Alibaba-NLP/gte-large-en-v1.5"">gte-large-en-v1.5</a>",434,1.62,1024,8192,81.43,85.39,79.78,73.88,85.08,79.61,86.15,81.6,89.11,70.59,83.07
217,99,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1.5"">nomic-embed-text-v1.5-256</a>",138,0.51,256,8192,81.34,81.58,79.24,78.16,86.01,81.25,86.51,84.24,86.44,65.14,84.8
102,100,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Salesforce/SFR-Embedding-2_R"">SFR-Embedding-2_R</a>",7111,26.49,4096,32768,81.26,87.6,77.01,75.67,82.4,79.93,85.82,84.5,88.93,67.1,83.6
208,101,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/neuralmagic/bge-base-en-v1.5-sparse"">bge-base-en-v1.5-sparse</a>",,,,,81.19,83.94,78.64,74.88,83.64,80.4,88.01,84.31,88.3,63.84,85.93
256,102,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-base"">sentence-t5-base</a>",110,0.41,768,512,81.14,75.89,80.18,78.05,85.85,82.19,87.46,84.03,89.57,62.66,85.52
155,103,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/dwzhu/e5-base-4k"">e5-base-4k</a>",112,0.42,768,4096,81.05,81.4,78.3,75.79,83.58,79.95,88.82,84.46,87.58,64.07,86.52
167,104,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-base-v2"">e5-base-v2</a>",110,0.41,768,512,81.05,81.4,78.3,75.79,83.58,79.95,88.82,84.46,87.58,64.07,86.52
304,105,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/new-embedding-models-and-api-updates"">text-embedding-3-large-256</a>",,,256,8191,81.04,84.87,79.18,71.98,85.52,80.5,87.51,84.48,88.11,65.92,82.34
303,106,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/new-and-improved-embedding-model"">text-embedding-ada-002</a>",,,1536,8191,80.97,86.35,80.6,69.8,83.27,76.09,86.12,85.96,90.25,68.12,83.17
185,107,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embedding-l-en-v1"">jina-embedding-l-en-v1</a>",335,1.25,1024,512,80.96,84.43,79.2,74.52,83.16,78.09,86.91,83.65,90.16,64.88,84.6
166,108,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-base"">e5-base</a>",109,0.41,768,512,80.96,85.1,79.66,74.22,83.31,78.52,88.35,84.15,87.23,62.88,86.18
32,109,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Cohere/Cohere-embed-english-light-v3.0"">Cohere-embed-english-light-v3.0</a>",,,,,80.92,81.72,79.65,72.6,82.88,79.74,86.98,84.41,89.22,65.42,86.58
171,110,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-small"">e5-small</a>",33,0.12,384,512,80.87,84.22,78.9,75.19,81.8,78.48,87.49,84.58,87.94,63.76,86.36
215,111,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1-unsupervised"">nomic-embed-text-v1-unsupervised</a>",137,0.51,768,8192,80.84,87.19,74.19,73.22,84.77,79.99,87.27,82.31,89.54,65.93,83.96
255,112,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2"">paraphrase-multilingual-mpnet-base-v2</a>",278,1.04,768,514,80.77,76.27,79.62,77.9,85.11,80.81,87.48,83.2,86.99,63.52,86.82
216,113,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1.5"">nomic-embed-text-v1.5-128</a>",138,0.51,128,8192,80.74,80.19,79.09,77.49,85.62,80.5,85.84,83.9,86.27,64.24,84.28
129,114,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/avsolatorio/GIST-all-MiniLM-L6-v2"">GIST-all-MiniLM-L6-v2</a>",23,0.08,384,512,80.72,81.26,79.09,75.04,83.26,78.62,87.03,83.01,87.36,68.11,84.4
188,115,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embeddings-v2-base-en"">jina-embeddings-v2-base-en</a>",137,0.51,768,8192,80.7,81.23,79.65,74.27,84.18,78.81,87.55,85.35,88.88,62.2,84.84
282,116,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/walsons/jina-embeddings-v2-base-en-Q4_K_M-GGUF"">jina-embeddings-v2-base-en-Q4_K_M-GGUF</a>",,,,,80.7,81.23,79.65,74.27,84.18,78.81,87.55,85.35,88.88,62.2,84.84
286,117,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/yessilver/new_model"">new_model</a>",,,,,80.59,82.19,79.25,73.71,82.32,80.07,87.21,82.33,87.58,66.3,84.92
91,118,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-5.8B-weightedmean-nli-bitfit"">SGPT-5.8B-weightedmean-nli-bitfit</a>",5874,21.88,4096,2048,80.53,79.5,79.59,74.29,85.35,79.21,85.52,82.54,90.44,63.2,85.67
195,119,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/lixsh6/XLM-3B5-embedding"">XLM-3B5-embedding</a>",,,,,80.47,80.72,81.87,70.75,84.37,74.51,86.41,84.74,89.03,65.87,86.46
115,120,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/TaylorAI/gte-tiny"">gte-tiny</a>",23,0.08,384,512,80.46,86.63,75.85,72.58,82.39,77.98,86.54,83.31,88.28,66.68,84.38
172,121,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-small-v2"">e5-small-v2</a>",33,0.12,384,512,80.39,79.43,78.51,76.21,82.4,79.0,87.76,83.8,87.72,63.15,85.95
173,122,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-base"">multilingual-e5-base</a>",278,1.04,768,514,80.31,85.05,78.51,76.7,78.02,76.6,88.16,84.28,87.84,62.26,85.64
243,123,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/all-mpnet-base-v2"">all-mpnet-base-v2</a>",110,0.41,768,514,80.28,80.43,80.59,72.63,83.48,78.0,85.66,80.03,90.6,67.95,83.42
262,124,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/shibing624/text2vec-base-multilingual"">text2vec-base-multilingual</a>",118,0.44,384,512,80.24,66.16,79.97,80.91,82.86,87.36,88.31,81.61,85.81,62.99,86.45
214,125,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1-ablated"">nomic-embed-text-v1-ablated</a>",137,0.51,768,8192,80.22,85.37,77.3,77.97,79.39,78.17,85.51,84.95,85.87,64.28,83.42
146,126,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/deepfile/embedder-100p"">embedder-100p</a>",278,1.04,768,514,80.17,75.32,80.91,76.98,82.63,77.84,85.92,80.68,88.99,68.26,84.2
34,127,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Cohere/Cohere-embed-multilingual-light-v3.0"">Cohere-embed-multilingual-light-v3.0</a>",,,384,512,80.09,84.01,77.04,73.22,79.5,76.96,86.43,84.33,88.67,65.31,85.46
190,128,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embeddings-v2-small-en"">jina-embeddings-v2-small-en</a>",33,0.12,512,8192,80.0,80.52,76.72,73.66,83.3,79.17,87.3,83.6,88.23,63.46,84.04
184,129,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embedding-b-en-v1"">jina-embedding-b-en-v1</a>",110,0.41,768,512,79.93,83.58,79.14,75.06,80.86,76.13,85.55,81.21,88.98,66.22,82.57
181,130,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-560m"">udever-bloom-560m</a>",,,1024,2048,79.93,84.44,78.53,74.07,81.81,77.05,84.61,83.09,89.15,62.92,83.63
76,131,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Mihaiii/Ivysaur"">Ivysaur</a>",23,0.08,384,512,79.89,87.32,75.63,68.58,80.54,77.63,86.16,82.82,88.57,67.39,84.25
241,132,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2"">all-MiniLM-L12-v2</a>",33,0.12,384,512,79.8,83.57,79.32,73.08,82.13,76.73,85.58,80.23,88.63,65.67,83.09
219,133,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1.5"">nomic-embed-text-v1.5-64</a>",138,0.51,64,8192,79.79,77.18,78.76,77.3,84.18,79.37,84.69,83.36,85.73,63.83,83.46
292,134,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/zhou-xl/bi-cse"">bi-cse</a>",560,2.09,1024,514,79.66,70.56,79.04,78.39,83.72,79.19,85.58,82.33,87.9,63.92,85.99
75,135,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Mihaiii/Bulbasaur"">Bulbasaur</a>",17,0.06,384,512,79.18,85.05,76.04,69.5,80.96,77.08,85.42,82.3,88.03,64.12,83.34
176,136,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-small"">multilingual-e5-small</a>",118,0.44,384,512,79.16,82.46,77.51,76.56,76.97,75.52,87.12,83.63,86.42,61.25,84.11
227,137,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/princeton-nlp/sup-simcse-bert-base-uncased"">sup-simcse-bert-base-uncased</a>",110,0.41,768,512,79.12,68.38,80.77,75.3,84.67,80.19,85.4,80.82,89.44,61.96,84.25
193,138,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/lixsh6/MegatronBert-1B3-embedding"">MegatronBert-1B3-embedding</a>",,,,,79.11,83.86,79.38,73.65,75.57,72.1,85.63,82.07,89.0,66.16,83.69
66,139,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Marqo/multilingual-e5-small"">multilingual-e5-small</a>",118,0.44,384,512,79.1,82.26,77.51,76.56,76.97,75.52,87.12,83.63,86.44,60.94,84.01
194,140,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/lixsh6/XLM-0B6-embedding"">XLM-0B6-embedding</a>",,,,,79.02,80.25,79.68,69.94,79.63,71.34,82.81,82.65,88.89,68.48,86.5
254,141,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"">paraphrase-multilingual-MiniLM-L12-v2</a>",118,0.44,384,512,78.96,74.18,79.61,76.02,80.7,78.85,85.84,81.05,86.87,62.07,84.42
242,142,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2"">all-MiniLM-L6-v2</a>",23,0.09,384,512,78.9,81.64,77.58,72.37,80.6,75.59,85.39,78.99,87.59,67.21,82.03
79,143,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Mihaiii/Wartortle"">Wartortle</a>",17,0.06,384,512,78.81,80.78,78.24,75.19,79.33,76.56,84.7,81.44,86.61,63.43,81.79
114,144,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/TaylorAI/bge-micro-v2"">bge-micro-v2</a>",17,0.06,384,512,78.65,82.92,73.62,71.89,79.85,76.86,84.77,81.91,86.82,65.38,82.5
299,145,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/introducing-text-and-code-embeddings"">text-similarity-ada-001</a>",,,1024,2046,78.6,78.04,77.48,72.3,81.49,74.74,84.28,82.06,87.08,64.71,83.78
127,146,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/andersonbcdefg/bge-small-4096"">bge-small-4096</a>",35,0.13,384,4096,78.59,81.6,74.18,72.2,80.54,76.2,85.2,81.93,86.61,65.46,81.94
212,147,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/neuralmagic/bge-small-en-v1.5-sparse"">bge-small-en-v1.5-sparse</a>",,,,,78.53,78.95,74.39,72.22,81.0,76.99,85.21,82.83,87.78,64.17,81.77
72,148,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse"">LLM2Vec-Mistral-unsupervised</a>",7111,26.49,4096,32768,78.5,83.29,75.55,67.65,83.9,76.97,83.8,81.91,85.58,65.93,80.42
111,149,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Snowflake/snowflake-arctic-embed-s"">snowflake-arctic-embed-s</a>",33,0.12,384,512,78.44,86.27,69.66,68.79,79.62,75.58,84.64,82.4,86.73,69.49,81.19
251,150,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-xxl"">gtr-t5-xxl</a>",4865,18.12,768,512,78.38,81.91,74.29,70.12,82.72,78.24,86.26,81.61,85.18,65.76,77.73
113,151,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/TaylorAI/bge-micro"">bge-micro</a>",17,0.06,384,512,78.37,83.42,72.39,71.9,80.93,76.6,84.92,80.72,85.61,65.9,81.32
249,152,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-large"">gtr-t5-large</a>",168,0.63,768,512,78.19,84.86,73.39,70.33,82.19,77.16,86.31,81.85,83.93,64.3,77.6
90,153,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-5.8B-weightedmean-msmarco-specb-bitfit"">SGPT-5.8B-weightedmean-msmarco-specb-bitfit</a>",5874,21.88,4096,2048,78.1,86.25,69.63,67.5,79.16,74.46,84.47,80.96,87.78,69.35,81.39
186,154,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embedding-s-en-v1"">jina-embedding-s-en-v1</a>",35,0.13,512,512,78.06,82.96,76.33,74.28,78.55,73.84,83.71,80.03,87.49,64.25,79.2
250,155,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-xl"">gtr-t5-xl</a>",1240,4.62,768,512,77.8,78.94,73.63,69.11,81.82,77.07,86.01,82.23,84.9,66.61,77.65
135,156,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/bigscience/sgpt-bloom-7b1-msmarco"">sgpt-bloom-7b1-msmarco</a>",,,,,77.74,85.31,69.82,69.66,79.67,74.61,83.81,80.4,87.07,66.13,80.9
109,157,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Snowflake/snowflake-arctic-embed-m-long"">snowflake-arctic-embed-m-long</a>",137,0.51,768,8192,77.08,88.24,70.91,66.11,79.82,73.64,83.23,81.58,80.59,68.79,77.9
287,158,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/yixuan-chia/snowflake-arctic-embed-m-long-Q8_0-GGUF"">snowflake-arctic-embed-m-long-Q8_0-GGUF</a>",,,,,77.08,88.24,70.91,66.11,79.82,73.64,83.23,81.58,80.59,68.79,77.9
248,159,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-base"">gtr-t5-base</a>",110,0.41,768,512,77.07,79.0,71.45,68.59,79.09,74.64,84.85,81.57,85.8,66.17,79.58
307,160,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://www.elastic.co/guide/en/machine-learning/current/ml-nlp-elser.html"">elser-v2</a>",110,0.41,30522,512,76.95,83.79,68.78,64.81,80.1,74.96,83.7,80.55,85.74,67.5,79.54
89,161,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-2.7B-weightedmean-msmarco-specb-bitfit"">SGPT-2.7B-weightedmean-msmarco-specb-bitfit</a>",2685,10.0,2560,2048,76.83,84.84,68.2,66.99,77.58,72.78,82.62,80.1,87.25,68.75,79.21
84,162,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Mihaiii/test24"">test24</a>",17,0.06,384,512,76.56,80.94,69.07,71.78,77.7,74.04,83.13,78.88,85.55,65.55,78.93
221,163,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nthakur/contriever-base-msmarco"">contriever-base-msmarco</a>",110,0.41,768,512,76.51,83.32,70.2,64.34,80.03,74.51,83.3,79.67,86.32,64.64,78.81
252,164,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/msmarco-bert-co-condensor"">msmarco-bert-co-condensor</a>",110,0.41,768,512,76.47,77.32,72.0,68.19,80.4,74.02,82.57,79.78,85.94,67.54,76.97
68,165,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/McGill-NLP/LLM2Vec-Llama-2-7b-chat-hf-mntp-unsup-simcse"">LLM2Vec-Llama-2-unsupervised</a>",6607,24.61,4096,4096,76.4,82.41,71.77,65.39,79.26,72.98,82.72,81.02,86.7,63.47,78.32
112,166,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Snowflake/snowflake-arctic-embed-xs"">snowflake-arctic-embed-xs</a>",23,0.08,384,512,76.39,84.05,69.26,65.9,77.87,72.82,83.49,80.58,84.49,66.28,79.18
77,167,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Mihaiii/Squirtle"">Squirtle</a>",16,0.06,384,512,75.9,71.78,77.34,70.15,78.42,74.76,82.0,78.27,85.85,61.2,79.21
70,168,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-unsup-simcse"">LLM2Vec-Meta-Llama-3-unsupervised</a>",7505,27.96,4096,8192,75.86,84.67,72.16,61.6,79.71,72.11,82.18,79.41,85.44,63.9,77.44
86,169,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-1.3B-weightedmean-msmarco-specb-bitfit"">SGPT-1.3B-weightedmean-msmarco-specb-bitfit</a>",1341,4.99,2048,2048,75.74,83.02,67.23,66.59,77.33,71.83,80.66,78.91,86.99,67.3,77.59
247,170,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/distiluse-base-multilingual-cased-v2"">distiluse-base-multilingual-cased-v2</a>",135,0.5,512,512,75.6,78.34,75.25,72.96,70.58,70.29,81.94,76.8,86.19,62.88,80.75
107,171,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Snowflake/snowflake-arctic-embed-l"">snowflake-arctic-embed-l</a>",334,1.24,1024,512,75.48,86.35,69.32,67.85,77.49,69.77,80.16,77.94,82.28,67.97,75.68
277,172,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/vprelovac/universal-sentence-encoder-multilingual-3"">universal-sentence-encoder-multilingual-3</a>",,,512,512,75.39,78.19,74.43,72.58,72.22,69.98,82.22,76.91,85.22,61.9,80.28
85,173,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Mihaiii/test25"">test25</a>",17,0.06,384,512,75.37,76.49,71.7,69.73,76.43,73.66,82.62,79.49,84.38,60.61,78.61
278,174,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/vprelovac/universal-sentence-encoder-multilingual-large-3"">universal-sentence-encoder-multilingual-large-3</a>",,,512,512,75.35,79.14,76.43,74.25,71.82,71.38,82.47,77.54,86.38,52.85,81.24
64,175,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ManiShankar-AlpesAi/paraphrase-multilingual-mpnet-base-v2-KE_Sieve"">paraphrase-multilingual-mpnet-base-v2-KE_Sieve</a>",,,,,75.11,65.29,76.01,71.25,78.4,74.23,81.41,79.13,85.4,58.63,81.34
272,176,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/twadada/nmc-nignore15"">nmc-nignore15</a>",,,,,75.07,80.16,66.06,67.62,79.15,74.97,82.0,77.45,85.17,60.88,77.27
108,177,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Snowflake/snowflake-arctic-embed-m"">snowflake-arctic-embed-m</a>",109,0.41,768,512,75.03,86.62,69.12,66.97,79.12,68.51,79.92,78.66,81.46,65.84,74.1
273,178,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/twadada/nmc-nignore30"">nmc-nignore30</a>",,,,,74.83,80.49,65.37,68.03,78.45,74.71,82.13,77.2,84.97,59.61,77.35
88,179,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-125M-weightedmean-nli-bitfit"">SGPT-125M-weightedmean-nli-bitfit</a>",138,0.51,768,2048,74.71,70.93,74.57,69.17,77.23,70.99,79.74,77.93,87.33,59.64,79.54
274,180,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/twadada/nmc-nignore50"">nmc-nignore50</a>",,,,,74.53,80.24,64.09,67.74,77.9,74.35,82.09,76.85,83.88,60.82,77.32
271,181,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/twadada/nmc-300-w75k-b10k"">nmc-300-w75k-b10k</a>",,,,,74.39,76.97,67.84,67.06,78.78,74.49,81.23,76.92,84.11,60.68,75.84
