Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Average,AlloProfClusteringP2P,AlloProfClusteringS2S,HALClusteringS2S,MLSUMClusteringP2P,MLSUMClusteringS2S,MasakhaNEWSClusteringP2P (fra),MasakhaNEWSClusteringS2S (fra),Subset,Task category
1,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/new-and-improved-embedding-model"">text-embedding-ada-002</a>",,,49.67,64.83,53.52,26.18,44.59,41.67,68.35,48.58,fr,Clustering
2,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-code-2</a>",,,45.46,61.63,50.67,27.44,45.23,41.48,56.59,35.18,fr,Clustering
3,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.mistral.ai/guides/embeddings"">mistral-embed</a>",,,44.74,62.01,49.2,26.17,45.28,42.74,48.13,39.62,fr,Clustering
4,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-xxl"">sentence-t5-xxl</a>",4865,18.12,43.25,60.98,43.5,21.4,42.24,35.25,61.15,38.24,fr,Clustering
5,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/dangvantuan/sentence-camembert-large"">sentence-camembert-large</a>",337,1.26,43.17,62.69,42.06,23.9,42.04,32.29,54.51,44.73,fr,Clustering
6,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-base"">multilingual-e5-base</a>",278,1.04,42.66,62.09,32.98,22.48,43.48,38.53,47.91,51.16,fr,Clustering
7,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/vprelovac/universal-sentence-encoder-multilingual-3"">universal-sentence-encoder-multilingual-3</a>",,,42.0,56.9,37.84,18.95,43.9,35.5,60.57,40.31,fr,Clustering
8,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-2</a>",,,41.88,57.96,41.65,24.84,45.08,38.77,48.54,36.33,fr,Clustering
9,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/sentence_croissant_alpha_v0.4"">sentence_croissant_alpha_v0.4</a>",1280,4.77,41.82,57.43,39.09,25.77,42.03,41.83,49.68,36.91,fr,Clustering
10,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Wissam42/sentence-croissant-llm-base"">sentence-croissant-llm-base</a>",1280,4.77,41.7,64.12,32.52,23.4,42.94,33.91,53.94,41.05,fr,Clustering
11,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-xl"">sentence-t5-xl</a>",1240,4.62,41.6,60.37,40.76,20.28,41.61,33.6,62.82,31.74,fr,Clustering
12,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/sentence_croissant_alpha_v0.1"">sentence_croissant_alpha_v0.1</a>",1280,4.77,41.33,59.89,38.46,25.68,44.01,36.92,47.22,37.16,fr,Clustering
13,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-mistral-7b-instruct"">e5-mistral-7b-instruct</a>",7111,26.49,41.16,61.06,28.12,19.69,45.59,32.0,52.47,49.2,fr,Clustering
14,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Cohere/Cohere-embed-multilingual-v3.0"">Cohere-embed-multilingual-v3.0</a>",,,40.7,63.53,36.18,19.9,45.08,34.75,53.18,32.31,fr,Clustering
15,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-large"">sentence-t5-large</a>",168,0.63,40.6,61.82,39.78,18.73,42.07,31.87,58.6,31.33,fr,Clustering
16,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/google-bert/bert-base-multilingual-uncased"">bert-base-multilingual-uncased</a>",168,0.63,40.43,60.66,35.05,20.9,43.5,30.99,49.71,42.23,fr,Clustering
17,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/sentence_croissant_alpha_v0.3"">sentence_croissant_alpha_v0.3</a>",1280,4.77,40.4,56.73,37.62,25.76,41.82,41.83,42.63,36.4,fr,Clustering
18,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-base"">sentence-t5-base</a>",110,0.41,40.07,58.44,35.93,17.72,40.77,30.06,61.9,35.64,fr,Clustering
19,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/sentence_croissant_alpha_v0.2"">sentence_croissant_alpha_v0.2</a>",1280,4.77,39.81,59.15,36.45,24.97,42.49,34.45,47.58,33.58,fr,Clustering
20,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/OrdalieTech/Solon-embeddings-large-0.1"">Solon-embeddings-large-0.1</a>",560,2.09,39.65,64.17,38.17,24.09,43.8,37.75,40.8,28.8,fr,Clustering
21,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2"">paraphrase-multilingual-mpnet-base-v2</a>",278,1.04,39.11,54.49,44.79,23.97,40.55,37.53,41.57,30.88,fr,Clustering
22,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-small"">multilingual-e5-small</a>",118,0.44,38.93,60.89,32.52,18.95,43.2,37.61,40.12,39.22,fr,Clustering
23,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Cohere/Cohere-embed-multilingual-light-v3.0"">Cohere-embed-multilingual-light-v3.0</a>",,,38.91,61.96,31.36,17.31,42.8,32.72,56.81,29.41,fr,Clustering
24,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-large"">multilingual-e5-large</a>",560,2.09,38.7,62.99,32.26,22.44,44.04,37.65,40.94,30.56,fr,Clustering
25,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"">paraphrase-multilingual-MiniLM-L12-v2</a>",118,0.44,38.35,56.06,42.16,23.21,39.97,36.55,36.58,33.9,fr,Clustering
26,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/LaBSE"">LaBSE</a>",471,1.75,38.32,54.78,31.6,20.62,42.09,34.84,46.16,38.13,fr,Clustering
27,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/bge-m3-custom-fr"">bge-m3-custom-fr</a>",568,2.12,37.9,56.73,38.2,24.13,42.12,36.69,34.61,32.81,fr,Clustering
28,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/vprelovac/universal-sentence-encoder-multilingual-large-3"">universal-sentence-encoder-multilingual-large-3</a>",,,36.35,54.21,37.95,18.94,41.02,37.97,24.09,40.24,fr,Clustering
29,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/dangvantuan/sentence-camembert-base"">sentence-camembert-base</a>",110,0.41,35.44,59.09,38.92,20.22,35.98,27.05,36.03,30.77,fr,Clustering
30,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-1b1"">udever-bloom-1b1</a>",,,35.04,62.22,27.06,13.86,44.11,30.47,40.2,27.35,fr,Clustering
31,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2"">all-MiniLM-L6-v2</a>",23,0.09,34.73,51.83,32.07,18.84,36.74,28.12,34.92,40.58,fr,Clustering
32,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Geotrend/bert-base-15lang-cased"">bert-base-15lang-cased</a>",138,0.51,34.09,53.16,43.43,20.26,41.22,31.88,24.23,24.46,fr,Clustering
33,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Geotrend/bert-base-25lang-cased"">bert-base-25lang-cased</a>",138,0.51,33.96,53.49,43.1,19.78,40.73,31.94,24.23,24.46,fr,Clustering
34,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Geotrend/bert-base-10lang-cased"">bert-base-10lang-cased</a>",138,0.51,33.94,53.22,42.92,19.94,40.96,31.87,24.23,24.46,fr,Clustering
35,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/google-bert/bert-base-multilingual-cased"">bert-base-multilingual-cased</a>",179,0.67,33.82,51.5,43.06,20.81,40.9,31.8,24.23,24.46,fr,Clustering
36,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2"">all-MiniLM-L12-v2</a>",33,0.12,33.75,46.03,31.83,19.58,34.35,29.3,42.72,32.47,fr,Clustering
37,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/spaces/mteb/leaderboard"">text2vec-base-multilingual</a>",,,33.66,49.11,32.72,16.19,36.19,30.39,38.51,32.51,fr,Clustering
38,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/multi-qa-MiniLM-L6-cos-v1"">multi-qa-MiniLM-L6-cos-v1</a>",23,0.09,32.84,49.13,26.16,12.49,35.15,25.95,53.73,27.27,fr,Clustering
39,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://github.com/facebookresearch/LASER"">LASER2</a>",43,0.16,29.92,48.45,25.81,11.52,34.53,27.35,32.04,29.77,fr,Clustering
40,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-560m"">udever-bloom-560m</a>",,,29.03,53.57,22.13,7.68,36.43,25.26,37.57,20.58,fr,Clustering
41,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/xlm-roberta-large"">xlm-roberta-large</a>",560,2.09,28.62,56.54,21.18,5.94,42.67,18.5,34.02,21.52,fr,Clustering
42,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/xlm-roberta-base"">xlm-roberta-base</a>",279,1.04,28.42,52.24,20.37,8.68,40.44,24.14,29.29,23.76,fr,Clustering
43,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/flaubert/flaubert_base_cased"">flaubert_base_cased</a>",138,0.51,27.18,52.86,14.46,3.85,39.06,17.13,41.61,21.26,fr,Clustering
44,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/flaubert/flaubert_large_cased"">flaubert_large_cased</a>",372,1.39,25.11,40.85,21.76,5.26,38.09,18.71,26.43,24.68,fr,Clustering
45,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/flaubert/flaubert_base_uncased"">flaubert_base_uncased</a>",138,0.51,22.45,43.2,12.94,1.8,33.22,14.9,28.49,22.58,fr,Clustering
46,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-law-2</a>",,,,62.5,44.28,26.36,,,50.68,38.79,fr,Clustering
