Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Average,AlloprofReranking,SyntecReranking,Subset,Task category
1,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-law-2</a>",,,82.06,72.92,91.2,fr,Reranking
2,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.mistral.ai/guides/embeddings"">mistral-embed</a>",,,80.46,72.36,88.57,fr,Reranking
3,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-code-2</a>",,,78.78,70.79,86.77,fr,Reranking
4,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-xxl"">sentence-t5-xxl</a>",4865,18.12,76.76,68.36,85.15,fr,Reranking
5,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/OrdalieTech/Solon-embeddings-large-0.1"">Solon-embeddings-large-0.1</a>",560,2.09,76.58,64.88,88.28,fr,Reranking
6,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/sentence_croissant_alpha_v0.4"">sentence_croissant_alpha_v0.4</a>",1280,4.77,76.43,68.79,84.07,fr,Reranking
7,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/sentence_croissant_alpha_v0.3"">sentence_croissant_alpha_v0.3</a>",1280,4.77,75.48,68.31,82.65,fr,Reranking
8,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/bge-m3-custom-fr"">bge-m3-custom-fr</a>",568,2.12,75.3,65.17,85.43,fr,Reranking
9,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/sentence_croissant_alpha_v0.2"">sentence_croissant_alpha_v0.2</a>",1280,4.77,75.2,67.24,83.17,fr,Reranking
10,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-xl"">sentence-t5-xl</a>",1240,4.62,73.18,63.3,83.07,fr,Reranking
11,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-2</a>",,,73.1,63.54,82.65,fr,Reranking
12,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/dangvantuan/sentence-camembert-large"">sentence-camembert-large</a>",337,1.26,72.89,57.62,88.15,fr,Reranking
13,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-large"">multilingual-e5-large</a>",560,2.09,72.14,57.37,86.9,fr,Reranking
14,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-base"">multilingual-e5-base</a>",278,1.04,71.76,58.1,85.43,fr,Reranking
15,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-small"">multilingual-e5-small</a>",118,0.44,71.44,56.17,86.7,fr,Reranking
16,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Cohere/Cohere-embed-multilingual-light-v3.0"">Cohere-embed-multilingual-light-v3.0</a>",,,69.82,51.6,88.03,fr,Reranking
17,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-large"">sentence-t5-large</a>",168,0.63,68.88,57.99,79.77,fr,Reranking
18,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2"">paraphrase-multilingual-mpnet-base-v2</a>",278,1.04,68.78,54.34,83.23,fr,Reranking
19,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Cohere/Cohere-embed-multilingual-v3.0"">Cohere-embed-multilingual-v3.0</a>",,,68.36,51.01,85.72,fr,Reranking
20,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Wissam42/sentence-croissant-llm-base"">sentence-croissant-llm-base</a>",1280,4.77,67.95,53.0,82.9,fr,Reranking
21,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/vprelovac/universal-sentence-encoder-multilingual-large-3"">universal-sentence-encoder-multilingual-large-3</a>",,,66.26,55.39,77.13,fr,Reranking
22,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/vprelovac/universal-sentence-encoder-multilingual-3"">universal-sentence-encoder-multilingual-3</a>",,,65.04,56.23,73.85,fr,Reranking
23,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/dangvantuan/sentence-camembert-base"">sentence-camembert-base</a>",110,0.41,64.22,48.68,79.75,fr,Reranking
24,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-base"">sentence-t5-base</a>",110,0.41,64.08,50.12,78.05,fr,Reranking
25,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-mistral-7b-instruct"">e5-mistral-7b-instruct</a>",7111,26.49,62.2,47.36,77.05,fr,Reranking
26,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"">paraphrase-multilingual-MiniLM-L12-v2</a>",118,0.44,62.02,49.01,75.03,fr,Reranking
27,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/LaBSE"">LaBSE</a>",471,1.75,61.4,49.51,73.28,fr,Reranking
28,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/spaces/mteb/leaderboard"">text2vec-base-multilingual</a>",,,60.88,51.48,70.28,fr,Reranking
29,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2"">all-MiniLM-L12-v2</a>",33,0.12,57.03,45.73,68.33,fr,Reranking
30,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/multi-qa-MiniLM-L6-cos-v1"">multi-qa-MiniLM-L6-cos-v1</a>",23,0.09,52.68,40.28,65.08,fr,Reranking
31,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/google-bert/bert-base-multilingual-uncased"">bert-base-multilingual-uncased</a>",168,0.63,52.62,38.85,66.4,fr,Reranking
32,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-1b1"">udever-bloom-1b1</a>",,,50.86,39.13,62.58,fr,Reranking
33,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/flaubert/flaubert_base_uncased"">flaubert_base_uncased</a>",138,0.51,45.86,34.55,57.18,fr,Reranking
34,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2"">all-MiniLM-L6-v2</a>",23,0.09,45.63,31.69,59.57,fr,Reranking
35,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://github.com/facebookresearch/LASER"">LASER2</a>",43,0.16,45.61,35.29,55.93,fr,Reranking
36,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/flaubert/flaubert_base_cased"">flaubert_base_cased</a>",138,0.51,45.34,34.81,55.88,fr,Reranking
37,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Geotrend/bert-base-25lang-cased"">bert-base-25lang-cased</a>",138,0.51,44.75,36.25,53.25,fr,Reranking
38,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/google-bert/bert-base-multilingual-cased"">bert-base-multilingual-cased</a>",179,0.67,44.74,36.23,53.25,fr,Reranking
39,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Geotrend/bert-base-10lang-cased"">bert-base-10lang-cased</a>",138,0.51,44.73,36.21,53.25,fr,Reranking
40,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Geotrend/bert-base-15lang-cased"">bert-base-15lang-cased</a>",138,0.51,44.73,36.21,53.25,fr,Reranking
41,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-560m"">udever-bloom-560m</a>",,,39.82,28.75,50.88,fr,Reranking
42,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/xlm-roberta-large"">xlm-roberta-large</a>",560,2.09,39.01,28.62,49.4,fr,Reranking
43,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/xlm-roberta-base"">xlm-roberta-base</a>",279,1.04,34.66,25.58,43.75,fr,Reranking
44,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/flaubert/flaubert_large_cased"">flaubert_large_cased</a>",372,1.39,34.54,26.29,42.8,fr,Reranking
66,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/new-and-improved-embedding-model"">text-embedding-ada-002</a>",,,,,89.87,fr,Reranking
