Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Average,MassiveIntentClassification (nb),MassiveScenarioClassification (nb),NoRecClassification,NordicLangClassification,NorwegianParliament,ScalaNbClassification,Subset,Task category
1,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/NbAiLab/nb-bert-large"">nb-bert-large</a>",355.0,1.32,66.73,62.68,67.44,55.46,85.27,62.58,66.97,no,Classification
2,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/NbAiLab/nb-bert-base"">nb-bert-base</a>",179.0,0.67,63.94,60.67,67.31,51.32,84.69,57.41,62.25,no,Classification
3,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-large"">multilingual-e5-large</a>",560.0,2.09,63.64,59.83,66.18,62.76,82.29,60.36,50.44,no,Classification
4,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ltg/norbert3-base"">norbert3-base</a>",131.0,0.49,61.75,54.2,60.69,53.4,82.67,59.33,60.19,no,Classification
5,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-base"">multilingual-e5-base</a>",278.0,1.04,61.63,59.83,66.18,57.58,75.94,59.94,50.32,no,Classification
6,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/chcaa/dfm-encoder-large-v1"">dfm-sentence-encoder-large-1</a>",355.0,1.32,61.34,57.57,63.66,50.46,75.98,57.66,62.69,no,Classification
7,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ltg/norbert3-large"">norbert3-large</a>",368.0,1.37,60.34,47.42,54.25,50.46,84.25,58.85,66.79,no,Classification
8,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-small"">multilingual-e5-small</a>",118.0,0.44,58.86,53.96,59.9,53.96,75.15,60.15,50.06,no,Classification
9,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/chcaa/dfm-encoder-large-v1"">dfm-encoder-large-v1</a>",355.0,1.32,58.46,52.49,54.59,48.3,77.68,58.78,58.95,no,Classification
10,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/vesteinn/DanskBERT"">DanskBERT</a>",125.0,0.47,55.0,45.38,47.55,46.06,74.25,56.79,59.99,no,Classification
11,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/facebook/SONAR"">SONAR</a>",,,54.92,59.9,65.81,48.25,48.4,55.99,51.18,no,Classification
12,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/xlm-roberta-base"">xlm-roberta-base</a>",279.0,1.04,54.34,40.46,44.83,46.28,79.39,56.75,58.33,no,Classification
13,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-base"">e5-base</a>",110.0,0.41,50.14,41.57,50.33,42.0,59.34,57.42,50.18,no,Classification
14,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-large"">e5-large</a>",335.0,1.25,50.01,40.63,51.91,41.83,58.3,57.26,50.13,no,Classification
15,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/KBLab/sentence-bert-swedish-cased"">sentence-bert-swedish-cased</a>",125.0,0.47,48.88,42.74,49.49,43.53,51.45,55.74,50.34,no,Classification
16,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-small"">e5-small</a>",33.0,0.12,48.46,40.25,48.58,41.84,53.47,56.57,50.03,no,Classification
17,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/KB/bert-base-swedish-cased"">bert-base-swedish-cased</a>",125.0,0.47,48.18,35.75,35.76,43.91,62.45,57.56,53.63,no,Classification
18,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2"">all-MiniLM-L6-v2</a>",23.0,0.09,47.28,39.34,44.67,40.02,54.71,54.8,50.17,no,Classification
19,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jonfd/electra-small-nordic"">electra-small-nordic</a>",23.0,0.09,47.28,24.6,27.3,45.44,57.82,53.25,75.28,no,Classification
20,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/KBLab/electra-small-swedish-cased-discriminator"">electra-small-swedish-cased-discriminator</a>",16.0,0.06,34.34,5.66,11.26,39.72,44.53,52.44,52.41,no,Classification
21,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://github.com/facebookresearch/LASER"">LASER2</a>",43.0,0.16,,37.74,43.9,,,,,no,Classification
22,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ClayAtlas/winberta-base"">winberta-base</a>",,,,36.89,44.27,43.53,,54.9,,no,Classification
23,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ClayAtlas/winberta-large"">winberta-large</a>",,,,28.65,35.24,,,,,no,Classification
24,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ClayAtlas/windberta-large"">windberta-large</a>",,,,31.07,38.02,,,,,no,Classification
25,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Jechto/e5-dansk-test-0.1"">e5-dansk-test-0.1</a>",560.0,2.09,,,,,61.0,,,no,Classification
26,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Kenknight1999/test_ver_2"">test_ver_2</a>",560.0,2.09,,69.88,74.84,,,,,no,Classification
27,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Kenknight1999/tungdd7_ft_e5"">tungdd7_ft_e5</a>",560.0,2.09,,69.88,74.84,,,,,no,Classification
28,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-125M-weightedmean-msmarco-specb-bitfit"">SGPT-125M-weightedmean-msmarco-specb-bitfit</a>",138.0,0.51,,39.82,39.02,,,,,no,Classification
29,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-125M-weightedmean-nli-bitfit"">SGPT-125M-weightedmean-nli-bitfit</a>",138.0,0.51,,39.48,40.47,,,,,no,Classification
30,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/amazon/Titan-text-embeddings-v2"">Titan-text-embeddings-v2</a>",,,,54.41,64.64,,,,,no,Classification
31,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/bigscience/sgpt-bloom-7b1-msmarco"">sgpt-bloom-7b1-msmarco</a>",7068.0,26.33,,49.41,51.8,,,,,no,Classification
32,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-mistral-7b-instruct"">e5-mistral-7b-instruct</a>",7111.0,26.49,,70.93,75.7,,,,,no,Classification
33,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-large-instruct"">multilingual-e5-large-instruct</a>",560.0,2.09,,71.66,77.21,,,,,no,Classification
34,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-1b1"">udever-bloom-1b1</a>",1065.0,3.97,,46.18,50.32,,,,,no,Classification
35,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-560m"">udever-bloom-560m</a>",559.0,2.08,,44.12,46.79,,,,,no,Classification
36,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/LaBSE"">LaBSE</a>",471.0,1.75,,57.91,64.29,,,,,no,Classification
37,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2"">all-MiniLM-L12-v2</a>",33.0,0.12,,41.91,47.36,,,,,no,Classification
38,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/allenai-specter"">allenai-specter</a>",110.0,0.41,,34.75,35.71,,,,,no,Classification
39,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/distiluse-base-multilingual-cased-v2"">distiluse-base-multilingual-cased-v2</a>",135.0,0.5,,46.01,54.98,,,,,no,Classification
40,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-large"">gtr-t5-large</a>",168.0,0.63,,43.78,52.71,,,,,no,Classification
41,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-xl"">gtr-t5-xl</a>",1240.0,4.62,,45.87,54.44,,,,,no,Classification
42,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-base"">sentence-t5-base</a>",110.0,0.41,,38.53,46.6,,,,,no,Classification
43,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-large"">sentence-t5-large</a>",168.0,0.63,,41.29,49.92,,,,,no,Classification
44,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-xl"">sentence-t5-xl</a>",1240.0,4.62,,45.91,53.43,,,,,no,Classification
45,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/shibing624/text2vec-base-multilingual"">text2vec-base-multilingual</a>",118.0,0.44,,54.64,60.26,,,,,no,Classification
