Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Average,AmazonCounterfactualClassification (de),AmazonCounterfactualClassification (ja),AmazonReviewsClassification (de),AmazonReviewsClassification (es),AmazonReviewsClassification (fr),AmazonReviewsClassification (ja),AmazonReviewsClassification (zh),MTOPDomainClassification (de),MTOPDomainClassification (es),MTOPDomainClassification (fr),MTOPDomainClassification (hi),MTOPDomainClassification (th),MTOPIntentClassification (de),MTOPIntentClassification (es),MTOPIntentClassification (fr),MTOPIntentClassification (hi),MTOPIntentClassification (th),MassiveIntentClassification (af),MassiveIntentClassification (am),MassiveIntentClassification (ar),MassiveIntentClassification (az),MassiveIntentClassification (bn),MassiveIntentClassification (cy),MassiveIntentClassification (de),MassiveIntentClassification (el),MassiveIntentClassification (es),MassiveIntentClassification (fa),MassiveIntentClassification (fi),MassiveIntentClassification (fr),MassiveIntentClassification (he),MassiveIntentClassification (hi),MassiveIntentClassification (hu),MassiveIntentClassification (hy),MassiveIntentClassification (id),MassiveIntentClassification (is),MassiveIntentClassification (it),MassiveIntentClassification (ja),MassiveIntentClassification (jv),MassiveIntentClassification (ka),MassiveIntentClassification (km),MassiveIntentClassification (kn),MassiveIntentClassification (ko),MassiveIntentClassification (lv),MassiveIntentClassification (ml),MassiveIntentClassification (mn),MassiveIntentClassification (ms),MassiveIntentClassification (my),MassiveIntentClassification (nl),MassiveIntentClassification (pt),MassiveIntentClassification (ro),MassiveIntentClassification (ru),MassiveIntentClassification (sl),MassiveIntentClassification (sq),MassiveIntentClassification (sw),MassiveIntentClassification (ta),MassiveIntentClassification (te),MassiveIntentClassification (th),MassiveIntentClassification (tl),MassiveIntentClassification (tr),MassiveIntentClassification (ur),MassiveIntentClassification (vi),MassiveIntentClassification (zh-TW),MassiveScenarioClassification (af),MassiveScenarioClassification (am),MassiveScenarioClassification (ar),MassiveScenarioClassification (az),MassiveScenarioClassification (bn),MassiveScenarioClassification (cy),MassiveScenarioClassification (de),MassiveScenarioClassification (el),MassiveScenarioClassification (es),MassiveScenarioClassification (fa),MassiveScenarioClassification (fi),MassiveScenarioClassification (fr),MassiveScenarioClassification (he),MassiveScenarioClassification (hi),MassiveScenarioClassification (hu),MassiveScenarioClassification (hy),MassiveScenarioClassification (id),MassiveScenarioClassification (is),MassiveScenarioClassification (it),MassiveScenarioClassification (ja),MassiveScenarioClassification (jv),MassiveScenarioClassification (ka),MassiveScenarioClassification (km),MassiveScenarioClassification (kn),MassiveScenarioClassification (ko),MassiveScenarioClassification (lv),MassiveScenarioClassification (ml),MassiveScenarioClassification (mn),MassiveScenarioClassification (ms),MassiveScenarioClassification (my),MassiveScenarioClassification (nl),MassiveScenarioClassification (pt),MassiveScenarioClassification (ro),MassiveScenarioClassification (ru),MassiveScenarioClassification (sl),MassiveScenarioClassification (sq),MassiveScenarioClassification (sw),MassiveScenarioClassification (ta),MassiveScenarioClassification (te),MassiveScenarioClassification (th),MassiveScenarioClassification (tl),MassiveScenarioClassification (tr),MassiveScenarioClassification (ur),MassiveScenarioClassification (vi),MassiveScenarioClassification (zh-TW),Subset,Task category
17,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-125M-weightedmean-msmarco-specb-bitfit"">SGPT-125M-weightedmean-msmarco-specb-bitfit</a>",138,0.51,37.64,56.88,54.65,24.79,26.64,26.39,22.08,24.27,62.73,67.55,65.35,45.37,55.28,49.56,49.94,46.33,32.21,43.63,40.55,24.18,30.13,35.88,29.17,41.79,42.07,36.25,42.68,35.59,40.04,43.44,31.59,27.04,38.45,27.98,43.97,40.3,45.47,45.61,38.67,25.65,28.3,23.48,36.56,41.85,24.91,29.86,42.42,25.13,43.62,45.21,41.81,35.97,40.61,42.76,41.12,24.6,25.04,35.4,41.19,36.41,25.93,38.8,42.31,43.25,25.3,32.07,36.68,29.57,42.1,43.21,36.5,44.08,32.61,40.36,45.07,32.18,26.9,40.38,28.38,44.36,39.29,46.47,46.26,41.13,24.73,29.74,23.85,36.57,40.93,25.53,29.11,43.79,27.27,45.36,45.9,44.12,32.76,40.5,42.52,43.0,28.33,26.59,36.79,42.57,37.09,28.84,37.36,44.42,other-cls,Classification
18,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-125M-weightedmean-nli-bitfit"">SGPT-125M-weightedmean-nli-bitfit</a>",138,0.51,36.66,59.08,56.42,24.52,29.1,27.4,21.72,23.98,60.37,67.37,63.13,47.05,52.28,45.07,48.81,44.34,34.2,43.11,37.79,23.72,29.64,39.48,26.55,38.78,40.39,37.29,41.18,36.42,38.76,43.67,31.98,28.04,38.14,26.05,41.16,38.63,44.04,46.21,37.61,24.47,26.24,17.83,37.27,40.93,17.89,32.98,40.91,17.83,41.76,44.54,39.97,37.46,38.29,40.95,38.33,19.03,19.38,34.09,40.29,38.86,27.83,38.71,42.32,40.25,25.69,32.4,40.53,27.23,38.7,41.36,38.44,44.18,34.83,40.56,45.92,32.08,28.37,39.49,25.9,40.96,38.56,46.59,46.25,39.66,25.28,28.97,19.27,35.73,39.57,19.9,32.43,42.32,20.86,43.59,46.31,42.53,35.95,38.69,40.47,39.55,22.88,20.51,34.93,40.75,39.07,29.75,38.02,45.18,other-cls,Classification
19,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2"">all-MiniLM-L12-v2</a>",33,0.12,31.93,57.1,59.91,25.91,27.63,27.54,23.57,22.99,72.04,72.99,75.59,40.36,17.1,43.41,41.88,38.94,17.75,5.63,38.94,2.45,20.94,34.25,13.67,35.71,44.17,28.7,40.91,23.52,39.27,44.82,23.65,17.98,38.0,8.69,39.66,35.14,43.17,30.94,36.69,9.17,4.99,3.08,19.97,38.61,2.85,23.25,36.21,4.38,41.85,45.12,41.71,26.33,38.52,41.62,35.28,13.1,2.56,10.54,38.56,35.9,16.18,37.38,22.39,45.71,7.41,27.62,39.58,18.98,41.4,52.07,35.51,50.74,29.0,45.8,53.76,25.68,23.02,44.09,14.83,44.35,43.08,51.71,36.75,44.57,14.84,9.75,8.32,25.72,42.75,7.25,29.03,44.65,10.07,49.15,53.0,49.97,28.75,42.26,49.14,43.18,19.38,7.74,18.32,48.31,41.79,24.46,40.94,31.16,other-cls,Classification
20,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-xl"">gtr-t5-xl</a>",1240,4.62,30.51,59.79,50.59,35.06,37.18,35.48,22.24,21.89,85.42,88.2,85.05,21.74,15.87,55.75,57.73,51.07,3.19,5.55,42.6,2.12,4.64,35.05,2.84,36.19,55.49,10.14,56.72,3.54,37.13,57.67,2.56,3.24,34.22,3.01,46.54,34.77,54.13,4.27,36.97,2.72,5.35,3.17,2.64,36.32,3.18,22.85,42.87,4.04,49.53,57.03,49.95,36.58,39.44,41.78,35.85,2.32,2.2,3.74,43.12,35.24,3.0,30.01,3.35,52.54,6.3,11.96,40.17,8.29,42.24,68.09,16.66,64.32,6.9,43.96,66.72,7.51,7.82,42.16,9.33,53.54,42.84,62.44,7.29,43.13,7.63,9.08,8.1,6.35,40.24,7.65,27.98,52.41,9.21,60.35,62.78,59.62,43.44,44.79,50.84,44.63,7.95,7.5,8.79,53.54,42.47,9.58,34.68,8.77,other-cls,Classification
21,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-xl"">sentence-t5-xl</a>",1240,4.62,29.6,67.01,45.61,44.05,45.01,43.52,22.23,21.88,83.28,85.32,85.14,20.85,15.62,54.65,57.38,54.39,3.28,5.08,40.17,2.18,4.18,30.02,2.6,29.15,57.43,9.96,57.97,3.6,34.02,60.99,2.51,3.02,31.66,3.32,41.53,30.25,56.57,3.5,31.67,2.79,5.43,2.79,2.67,34.25,2.98,20.99,37.43,4.02,50.51,57.95,49.37,33.46,36.33,37.65,30.6,1.79,2.26,4.02,38.92,32.05,2.7,21.47,3.24,50.81,6.95,12.32,38.79,8.0,33.91,65.33,16.89,62.52,6.08,43.34,66.42,7.55,7.44,40.85,9.25,51.92,40.09,62.94,7.9,41.33,7.76,9.19,8.36,6.13,40.7,6.98,27.0,46.9,9.55,59.65,62.18,58.22,40.73,43.66,49.25,40.55,7.46,7.03,8.52,51.74,43.01,9.61,28.91,7.14,other-cls,Classification
22,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-large"">gtr-t5-large</a>",168,0.63,28.9,59.38,45.87,33.06,34.0,33.48,21.78,21.83,81.91,84.7,82.48,22.11,16.36,52.13,52.62,46.39,3.9,5.38,41.02,2.34,4.87,34.92,2.52,35.87,51.48,10.0,53.3,3.59,37.35,54.83,2.52,2.88,33.52,3.13,40.11,34.77,51.21,4.75,35.6,2.71,5.48,2.44,2.59,38.15,2.67,18.47,35.58,4.35,45.96,52.27,46.39,16.82,37.3,41.73,35.97,1.52,2.57,3.94,41.03,33.75,2.57,25.23,4.64,51.48,7.74,12.03,41.77,8.07,43.67,63.63,16.83,61.48,6.48,43.54,64.06,8.03,7.5,42.59,9.22,48.67,43.87,59.83,5.62,42.18,7.52,9.55,8.34,6.11,43.35,7.28,23.94,45.18,9.33,57.02,59.45,56.8,25.85,42.51,50.41,43.02,7.21,6.9,8.7,51.76,42.54,9.32,31.51,8.16,other-cls,Classification
23,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-large"">sentence-t5-large</a>",168,0.63,28.26,67.97,45.72,43.16,42.89,41.48,22.49,22.12,80.56,80.78,79.6,21.22,15.82,52.5,52.07,47.73,3.74,4.96,38.41,2.49,4.7,31.77,2.77,31.69,52.01,9.74,54.1,3.86,34.07,57.01,2.14,2.97,32.01,3.17,34.55,32.0,52.94,2.9,32.42,2.71,5.5,2.41,2.57,35.09,2.95,18.33,29.69,3.99,44.95,51.96,43.83,17.32,33.71,37.62,31.9,1.91,2.54,3.85,36.83,33.0,2.62,22.81,3.49,50.28,7.15,12.12,39.68,8.06,38.01,62.71,17.19,59.56,6.5,41.72,63.6,7.93,7.85,41.37,9.42,44.88,40.86,60.09,6.56,40.18,7.37,9.56,8.4,5.96,41.44,7.47,25.36,39.69,9.68,56.09,57.99,56.0,27.47,41.04,49.38,40.62,7.59,7.07,8.52,49.89,43.08,9.31,27.46,7.24,other-cls,Classification
24,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-base"">sentence-t5-base</a>",110,0.41,26.73,69.98,46.05,37.9,37.33,37.35,22.29,21.53,76.98,73.61,75.03,21.4,16.21,44.43,42.03,43.85,3.8,5.21,34.32,2.38,4.53,31.76,2.58,28.94,45.23,10.05,45.32,3.58,33.52,51.13,2.63,2.68,32.31,3.33,35.5,29.82,45.59,3.67,31.15,2.77,5.66,2.59,2.34,33.97,2.55,14.7,33.12,4.42,37.96,43.35,42.69,14.82,34.54,38.54,32.14,1.41,2.5,3.71,36.04,33.77,2.99,22.62,4.63,44.45,7.51,12.32,38.41,8.45,35.04,59.12,17.68,55.61,6.86,41.34,59.92,7.86,7.63,41.31,9.23,44.64,39.63,54.58,4.96,40.73,7.51,8.73,7.99,6.03,36.42,6.96,19.85,43.18,9.46,50.0,52.24,53.7,20.69,39.79,50.16,40.48,7.47,6.87,8.26,48.94,41.83,9.77,30.01,7.91,other-cls,Classification
25,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/allenai-specter"">allenai-specter</a>",110,0.41,24.49,54.46,43.87,24.08,23.88,23.31,20.25,20.49,48.55,58.39,54.61,21.22,14.98,35.55,36.72,34.71,4.44,4.67,33.68,2.94,10.04,30.74,3.02,33.94,36.06,27.7,35.6,17.97,35.53,38.41,2.69,3.43,34.05,3.11,40.02,32.63,39.28,4.95,34.95,2.57,4.73,3.54,2.68,37.91,2.88,16.94,36.6,3.96,33.95,43.05,36.2,25.3,35.9,36.6,34.81,3.11,2.53,4.38,35.51,32.02,9.61,37.07,4.79,36.17,7.64,15.26,30.73,7.15,34.73,38.62,27.18,39.44,21.43,33.21,40.26,7.42,8.06,34.54,8.61,40.04,33.57,40.1,9.96,36.11,7.13,9.66,7.55,7.27,37.03,7.22,21.53,37.57,9.54,34.62,44.68,37.29,28.16,37.95,37.82,35.37,7.19,7.29,9.47,37.31,34.57,16.17,35.91,10.19,other-cls,Classification
26,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.mistral.ai/guides/embeddings"">mistral-embed</a>",,,,,,,,41.59,,,,,90.05,,,,,66.09,,,,,,,,,,,,,,62.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
27,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-2</a>",,,,,,,,37.26,,,,,79.79,,,,,45.62,,,,,,,,,,,,,,53.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
28,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-code-2</a>",,,,,,,,42.15,,,,,87.68,,,,,59.44,,,,,,,,,,,,,,63.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
29,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-law-2</a>",,,,,,,,41.98,,,,,90.12,,,,,62.44,,,,,,,,,,,,,,66.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
30,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://help.aliyun.com/zh/open-search/vector-search-edition/hybrid-retrieval"">OpenSearch-text-hybrid</a>",,,,,,,,,,46.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
31,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct"">gte-Qwen1.5-7B-instruct</a>",7099,26.45,,,,,,,,52.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
32,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-base-zh-v1.5"">bge-base-zh-v1.5</a>",102,0.38,,,,,,,,40.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
33,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-large-zh-noinstruct"">bge-large-zh-noinstruct</a>",326,1.21,,,,,,,,41.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
34,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-large-zh-v1.5"">bge-large-zh-v1.5</a>",326,1.21,,,,,,,,41.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
35,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-small-zh-v1.5"">bge-small-zh-v1.5</a>",24,0.09,,,,,,,,35.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
36,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ClayAtlas/winberta-base"">winberta-base</a>",,,,54.11,53.95,,,,,39.68,57.22,58.4,54.97,64.17,70.47,32.18,33.9,26.69,38.27,42.73,33.5,19.56,26.46,31.58,27.99,28.26,34.2,26.02,36.37,48.91,30.11,37.53,24.86,39.14,31.97,31.36,37.04,28.61,37.86,47.9,29.08,25.77,23.66,21.27,40.42,30.13,25.89,27.71,33.04,24.19,39.31,40.26,35.42,39.69,31.09,35.15,27.91,28.12,26.34,48.24,32.73,30.21,30.28,40.45,64.03,43.53,25.3,34.91,36.37,39.2,32.18,43.92,35.03,41.96,58.36,33.95,45.32,34.06,48.77,39.92,38.09,45.08,36.55,44.38,57.02,35.51,33.41,30.9,26.83,49.52,34.02,34.55,34.14,42.71,31.0,51.44,45.9,45.01,48.66,38.34,44.78,36.02,37.81,34.6,57.38,39.36,36.16,36.43,47.04,71.96,other-cls,Classification
37,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ClayAtlas/winberta-large"">winberta-large</a>",,,,,,,,,,42.04,,,,,,,,,,,25.8,3.34,6.49,24.77,4.3,26.39,28.09,19.24,30.62,7.21,27.21,32.64,2.66,4.59,25.65,4.86,29.81,23.53,34.47,39.4,28.75,4.34,6.1,4.46,14.16,29.86,3.69,7.86,28.05,6.98,32.92,33.53,31.32,11.27,27.94,32.9,29.4,3.33,3.46,12.98,30.73,23.57,4.98,21.89,65.53,31.55,7.49,15.0,29.13,9.24,29.72,34.68,28.83,35.97,11.12,28.61,40.66,9.01,9.92,32.07,8.44,34.9,30.95,41.06,48.73,35.09,9.29,11.19,10.1,19.2,32.49,6.37,13.08,39.18,12.25,38.17,40.01,39.25,16.71,33.94,40.4,37.14,8.21,7.97,21.56,36.7,28.8,10.46,27.72,71.52,other-cls,Classification
38,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ClayAtlas/windberta-large"">windberta-large</a>",,,,,,,,,,43.32,,,,,,,,,,,28.81,3.04,6.75,27.0,3.24,31.18,30.65,18.17,32.53,8.72,31.79,33.16,3.03,3.61,30.47,5.35,32.45,30.12,36.32,41.09,30.42,3.79,6.79,3.86,8.82,30.23,2.93,12.61,30.66,5.85,34.1,36.92,33.01,10.4,30.73,36.98,31.62,3.19,2.59,4.61,32.55,26.87,4.23,29.24,65.49,35.41,9.05,14.92,31.97,9.15,37.45,38.33,24.45,37.73,11.84,34.49,40.92,7.64,8.64,37.25,10.91,36.11,37.8,41.68,48.38,35.2,9.9,12.75,10.31,14.52,33.08,7.44,17.98,37.93,11.73,40.37,41.83,40.63,18.96,35.3,41.96,38.88,8.51,7.35,10.1,35.91,32.08,10.37,33.91,71.0,other-cls,Classification
39,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Cohere/Cohere-embed-multilingual-light-v3.0"">Cohere-embed-multilingual-light-v3.0</a>",,,,,,,,38.6,,,,,80.79,,,,,50.01,,,,,,,,,,,,,,56.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
40,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Cohere/Cohere-embed-multilingual-v3.0"">Cohere-embed-multilingual-v3.0</a>",,,,,,,,41.89,,,,,86.23,,,,,61.07,,,,,,,,,,,,,,62.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
41,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/DMetaSoul/Dmeta-embedding-zh"">Dmeta-embedding-zh</a>",103,0.38,,,,,,,,44.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
42,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/DMetaSoul/Dmeta-embedding-zh-small"">Dmeta-embedding-zh-small</a>",74,0.28,,,,,,,,44.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
43,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/DMetaSoul/sbert-chinese-general-v1"">sbert-chinese-general-v1</a>",102,0.38,,,,,,,,37.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
44,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/EdwardBurgin/paraphrase-multilingual-mpnet-base-v2"">paraphrase-multilingual-mpnet-base-v2</a>",,,,,,,,,,38.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
45,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Erin/IYun-large-zh"">IYun-large-zh</a>",,,,,,,,,,48.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
46,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Erin/mist-zh"">mist-zh</a>",51,0.19,,,,,,,,39.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
47,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/GanymedeNil/text2vec-large-chinese"">text2vec-large-chinese</a>",326,1.21,,,,,,,,33.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
48,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Geotrend/bert-base-10lang-cased"">bert-base-10lang-cased</a>",138,0.51,,,,,,29.38,,,,,63.65,,,,,37.87,,,,,,,,,,,,,,37.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
49,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Geotrend/bert-base-15lang-cased"">bert-base-15lang-cased</a>",138,0.51,,,,,,29.35,,,,,63.7,,,,,37.85,,,,,,,,,,,,,,37.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
50,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Geotrend/bert-base-25lang-cased"">bert-base-25lang-cased</a>",138,0.51,,,,,,29.39,,,,,63.63,,,,,37.86,,,,,,,,,,,,,,37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
51,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-5.8B-weightedmean-nli-bitfit"">SGPT-5.8B-weightedmean-nli-bitfit</a>",5874,21.88,,66.64,58.06,35.29,38.34,37.84,30.94,33.75,84.54,86.46,81.32,58.23,72.29,60.52,64.32,58.67,41.96,55.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
52,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/OrdalieTech/Solon-embeddings-large-0.1"">Solon-embeddings-large-0.1</a>",560,2.09,,,,,,42.08,,,,,89.26,,,,,68.55,,,,,,,,,,,,,,67.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
53,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Pristinenlp/alime-embedding-large-zh"">alime-embedding-large-zh</a>",326,1.21,,,,,,,,46.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other-cls,Classification
