Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Average,STS17 (ar-ar),STS17 (en-ar),STS17 (en-de),STS17 (en-tr),STS17 (es-en),STS17 (es-es),STS17 (fr-en),STS17 (it-en),STS17 (ko-ko),STS17 (nl-en),STS22 (ar),STS22 (de),STS22 (de-en),STS22 (de-fr),STS22 (de-pl),STS22 (es),STS22 (es-en),STS22 (es-it),STS22 (fr),STS22 (fr-pl),STS22 (it),STS22 (pl),STS22 (pl-en),STS22 (ru),STS22 (tr),STS22 (zh-en),STSBenchmark,Subset,Task category
1,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-mistral-7b-instruct"">e5-mistral-7b-instruct</a>",7111,26.49,73.17,81.87,77.93,87.3,72.56,88.24,87.46,88.06,89.68,83.69,88.25,54.12,49.12,60.92,61.39,54.47,67.0,75.84,75.04,69.82,84.52,75.87,39.21,73.18,60.83,68.72,71.88,88.6,other-sts,STS
2,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Kenknight1999/tungdd7_ft_e5"">tungdd7_ft_e5</a>",560,2.09,70.02,77.88,75.06,86.16,71.23,80.75,86.74,85.62,84.54,82.27,85.28,56.99,56.59,56.6,67.79,49.58,64.58,72.52,68.93,76.79,50.71,76.98,34.68,65.54,59.9,63.55,66.0,87.29,other-sts,STS
3,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Kenknight1999/test_ver_2"">test_ver_2</a>",560,2.09,70.02,77.88,75.06,86.16,71.23,80.75,86.74,85.62,84.54,82.27,85.28,56.99,56.59,56.6,67.79,49.58,64.58,72.52,68.93,76.79,50.71,76.98,34.68,65.54,59.9,63.55,66.0,87.29,other-sts,STS
4,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-large"">multilingual-e5-large</a>",560,2.09,70.02,77.88,75.06,86.16,71.23,80.75,86.74,85.62,84.54,82.27,85.28,56.99,56.59,56.6,67.79,49.58,64.58,72.52,68.93,76.79,50.71,76.98,34.66,65.54,59.9,63.55,66.0,87.29,other-sts,STS
5,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/amazon/Titan-text-embeddings-v2"">Titan-text-embeddings-v2</a>",,,68.85,79.38,58.76,76.13,55.53,72.26,85.06,75.63,71.36,80.79,71.99,57.44,60.12,53.36,58.25,48.47,68.57,77.41,74.69,81.47,73.25,79.28,42.08,77.5,61.71,66.62,69.87,81.95,other-sts,STS
6,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-base"">multilingual-e5-base</a>",278,1.04,68.84,74.52,71.27,82.09,63.33,76.5,86.74,80.18,80.15,79.95,79.25,57.87,55.95,54.93,59.47,39.35,66.58,73.99,66.46,74.8,73.25,77.76,34.07,70.37,60.66,63.7,69.92,85.64,other-sts,STS
7,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-small"">multilingual-e5-small</a>",118,0.44,67.07,73.03,57.41,77.24,55.97,72.44,84.84,72.29,77.33,78.87,75.38,56.65,53.45,56.49,60.57,28.24,66.88,74.57,71.81,76.58,84.52,76.53,35.8,72.69,59.9,63.71,63.74,84.01,other-sts,STS
8,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/LaBSE"">LaBSE</a>",471,1.75,66.01,69.07,74.51,73.85,72.07,65.71,80.83,76.98,76.99,71.32,75.22,57.67,48.58,50.14,53.28,58.69,63.18,71.86,69.69,77.95,61.98,72.22,39.28,69.41,57.49,58.15,64.02,72.25,other-sts,STS
9,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/shibing624/text2vec-base-multilingual"">text2vec-base-multilingual</a>",118,0.44,65.66,78.03,78.6,81.48,76.34,81.81,87.91,78.06,80.98,68.24,81.0,54.51,46.89,45.0,49.43,39.32,58.94,67.71,50.79,74.1,73.25,65.86,34.81,60.17,54.51,57.29,61.29,86.45,other-sts,STS
10,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ManiShankar-AlpesAi/paraphrase-multilingual-mpnet-base-v2-KE_Sieve"">paraphrase-multilingual-mpnet-base-v2-KE_Sieve</a>",,,65.52,76.04,77.6,70.4,71.04,81.59,82.77,77.16,81.52,77.0,80.7,52.61,41.84,49.09,50.6,50.44,57.23,67.29,57.93,72.79,73.25,64.17,36.37,67.72,53.35,52.71,64.45,81.34,other-sts,STS
11,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/distiluse-base-multilingual-cased-v2"">distiluse-base-multilingual-cased-v2</a>",135,0.5,65.43,77.34,77.46,80.24,74.34,77.4,83.71,79.28,80.82,76.4,80.51,49.04,35.73,47.51,60.76,36.09,59.34,68.96,63.28,76.41,61.98,65.1,34.58,71.33,52.4,54.07,61.75,80.75,other-sts,STS
12,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-1b1"">udever-bloom-1b1</a>",,,59.1,81.13,79.64,52.52,4.75,85.41,87.33,83.96,45.62,61.89,46.69,55.0,37.51,51.66,39.66,26.11,59.79,73.59,67.83,77.1,84.52,68.87,27.98,60.77,43.14,42.33,65.01,85.79,other-sts,STS
13,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/bigscience/sgpt-bloom-7b1-msmarco"">sgpt-bloom-7b1-msmarco</a>",7068,26.33,58.34,76.42,78.07,59.1,11.8,78.22,86.0,80.46,51.58,66.89,45.85,58.67,30.05,51.16,53.28,43.05,65.41,75.06,65.5,80.38,28.17,65.65,31.13,53.31,43.36,47.14,68.45,80.9,other-sts,STS
14,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/facebook/SONAR"">SONAR</a>",,,57.22,74.97,74.05,74.95,77.18,72.25,80.65,77.2,78.67,66.14,78.14,40.25,24.09,34.28,41.29,25.81,55.4,57.82,49.13,61.72,61.98,62.2,25.31,44.72,43.57,46.46,49.19,67.39,other-sts,STS
15,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://github.com/facebookresearch/LASER"">LASER2</a>",43,0.16,52.31,67.47,65.05,66.66,70.05,55.3,79.67,70.82,70.98,70.52,68.12,42.57,25.69,32.35,37.41,15.67,54.92,54.34,42.21,58.61,39.44,60.31,18.34,53.63,39.24,36.97,46.19,69.77,other-sts,STS
16,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-560m"">udever-bloom-560m</a>",,,52.04,80.6,72.6,40.34,6.79,81.8,85.65,79.94,34.8,57.28,33.58,54.82,26.63,49.55,22.36,35.32,56.31,71.03,61.3,61.35,73.25,62.61,15.06,43.72,28.77,22.11,63.9,83.63,other-sts,STS
17,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-xl"">sentence-t5-xl</a>",1240,4.62,50.06,11.13,-3.93,79.04,13.61,71.72,83.42,71.38,69.5,9.61,66.12,29.6,47.72,49.64,62.21,34.34,58.16,69.15,65.26,77.49,50.71,66.91,27.04,58.85,26.63,43.36,29.0,83.93,other-sts,STS
18,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-xl"">gtr-t5-xl</a>",1240,4.62,49.47,9.06,-3.22,70.38,17.17,60.24,81.93,62.17,59.11,8.9,56.91,37.66,50.58,53.63,55.72,27.99,59.14,69.99,60.94,79.43,61.98,67.14,33.74,60.18,32.69,55.79,28.85,77.65,other-sts,STS
19,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-large"">gtr-t5-large</a>",168,0.63,46.79,10.19,-5.77,67.43,8.75,54.96,82.74,60.5,46.26,8.96,47.48,34.97,51.7,48.76,57.5,32.76,57.49,67.76,57.18,78.7,61.98,67.67,30.68,54.17,15.36,58.12,29.42,77.6,other-sts,STS
20,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-large"">sentence-t5-large</a>",168,0.63,44.35,10.75,-4.71,73.62,-0.42,62.62,82.74,67.86,51.86,9.44,45.95,27.01,43.73,49.93,61.58,38.83,57.68,68.09,61.58,75.01,5.63,62.01,25.0,51.72,14.21,47.3,23.1,85.36,other-sts,STS
21,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-base"">sentence-t5-base</a>",110,0.41,41.17,13.36,-5.65,67.11,-0.02,47.72,79.94,56.61,30.46,10.06,36.46,31.2,42.08,46.9,55.04,33.94,53.81,65.19,55.29,77.69,28.17,60.65,24.42,42.97,12.13,40.45,20.15,85.52,other-sts,STS
22,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2"">all-MiniLM-L6-v2</a>",23,0.09,37.71,50.89,-4.28,35.82,4.5,16.31,76.12,37.09,24.45,43.39,29.0,22.64,31.04,44.04,30.07,4.93,54.78,53.42,44.27,77.0,50.71,60.4,26.77,32.8,14.72,33.69,41.64,82.03,other-sts,STS
23,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-125M-weightedmean-msmarco-specb-bitfit"">SGPT-125M-weightedmean-msmarco-specb-bitfit</a>",138,0.51,37.32,55.62,8.21,30.18,1.04,28.78,71.88,26.34,20.73,52.39,25.05,28.19,21.99,53.07,32.97,20.45,49.81,49.51,45.78,67.66,61.98,48.25,23.31,36.8,9.07,34.66,28.68,75.34,other-sts,STS
24,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2"">all-MiniLM-L12-v2</a>",33,0.12,34.57,58.71,0.54,27.54,0.43,22.01,78.37,30.7,24.28,43.37,24.51,17.54,22.53,42.86,43.52,1.63,43.98,53.99,40.71,69.51,16.9,47.48,19.22,42.67,11.19,21.6,44.39,83.09,other-sts,STS
25,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-125M-weightedmean-nli-bitfit"">SGPT-125M-weightedmean-nli-bitfit</a>",138,0.51,27.72,54.16,1.72,25.48,2.09,21.93,67.8,18.91,16.39,45.66,23.49,5.17,11.0,53.93,25.11,20.94,43.05,32.74,35.99,54.56,5.63,33.68,14.91,20.54,3.36,3.82,26.71,79.54,other-sts,STS
26,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/allenai-specter"">allenai-specter</a>",110,0.41,25.1,27.14,6.9,11.59,6.46,10.86,55.45,16.02,19.87,8.08,24.92,19.57,17.31,26.03,10.26,16.94,48.89,51.79,25.24,53.92,39.44,39.43,13.56,25.36,1.11,31.73,8.44,61.26,other-sts,STS
27,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/average_word_embeddings_komninos"">komninos</a>",134,0.5,24.28,13.78,9.08,-3.11,-0.45,-8.18,48.23,5.81,3.64,2.54,0.44,32.42,33.04,28.65,14.77,11.21,48.53,26.97,41.1,49.43,39.44,57.77,12.47,45.55,19.44,47.38,14.05,61.55,other-sts,STS
28,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings#latest_models"">google-gecko-256.text-embedding-preview-0409</a>",1200,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.33,other-sts,STS
29,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings#latest_models"">google-gecko.text-embedding-preview-0409</a>",1200,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.99,other-sts,STS
30,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.aws.amazon.com/bedrock/latest/userguide/embeddings.html"">titan-embed-text-v1</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.85,other-sts,STS
31,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.mistral.ai/guides/embeddings"">mistral-embed</a>",,,,,,,,,,,,,,,,,,,,,,82.74,,,,,,,,,other-sts,STS
32,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-2</a>",,,,,,,,,,,,,,,,,,,,,,70.51,,,,,,,,,other-sts,STS
33,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-code-2</a>",,,,,,,,,,,,,,,,,,,,,,79.99,,,,,,,,,other-sts,STS
34,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-large-2-instruct</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.22,other-sts,STS
35,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-law-2</a>",,,,,,,,,,,,,,,,,,,,,,83.75,,,,,,,,,other-sts,STS
36,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-lite-01-instruct</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.86,other-sts,STS
37,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-lite-02-instruct</a>",1220,4.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.56,other-sts,STS
38,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct"">gte-Qwen1.5-7B-instruct</a>",7099,26.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.35,other-sts,STS
39,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Alibaba-NLP/gte-base-en-v1.5"">gte-base-en-v1.5</a>",137,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.04,other-sts,STS
40,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Alibaba-NLP/gte-large-en-v1.5"">gte-large-en-v1.5</a>",434,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.07,other-sts,STS
41,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-base-en-v1.5"">bge-base-en-v1.5</a>",109,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.42,other-sts,STS
42,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-large-en-v1.5"">bge-large-en-v1.5</a>",335,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.52,other-sts,STS
43,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-small-en-v1.5"">bge-small-en-v1.5</a>",33,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.86,other-sts,STS
44,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Cohere/Cohere-embed-english-light-v3.0"">Cohere-embed-english-light-v3.0</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.58,other-sts,STS
45,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Cohere/Cohere-embed-english-v3.0"">Cohere-embed-english-v3.0</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.55,other-sts,STS
46,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Cohere/Cohere-embed-multilingual-light-v3.0"">Cohere-embed-multilingual-light-v3.0</a>",,,,,,,,,,,,,,,,,,,,,,82.8,,,,,,,,85.46,other-sts,STS
47,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Cohere/Cohere-embed-multilingual-v3.0"">Cohere-embed-multilingual-v3.0</a>",,,,,,,,,,,,,,,,,,,,,,82.76,,,,,,,,88.79,other-sts,STS
48,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/DMetaSoul/sbert-chinese-general-v1"">sbert-chinese-general-v1</a>",102,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,33.88,,other-sts,STS
49,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Geotrend/bert-base-10lang-cased"">bert-base-10lang-cased</a>",138,0.51,,,,,,,,,,,,,,,,,,,,40.31,,,,,,,,,other-sts,STS
50,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Geotrend/bert-base-15lang-cased"">bert-base-15lang-cased</a>",138,0.51,,,,,,,,,,,,,,,,,,,,40.4,,,,,,,,,other-sts,STS
51,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Geotrend/bert-base-25lang-cased"">bert-base-25lang-cased</a>",138,0.51,,,,,,,,,,,,,,,,,,,,38.77,,,,,,,,,other-sts,STS
52,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/GritLM/GritLM-7B"">GritLM-7B</a>",7242,26.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.64,other-sts,STS
53,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/GritLM/GritLM-8x7B"">GritLM-8x7B</a>",46703,173.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.43,other-sts,STS
54,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Hum-Works/lodestone-base-4096-v1"">lodestone-base-4096-v1</a>",69,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.57,other-sts,STS
55,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/McGill-NLP/LLM2Vec-Llama-2-7b-chat-hf-mntp-supervised"">LLM2Vec-Llama-2-supervised</a>",6607,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.72,other-sts,STS
56,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/McGill-NLP/LLM2Vec-Llama-2-7b-chat-hf-mntp-unsup-simcse"">LLM2Vec-Llama-2-unsupervised</a>",6607,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.32,other-sts,STS
