Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Average,CMedQAv1,CMedQAv2,MMarcoReranking,T2Reranking,Subset,Task category
1,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sensenova/piccolo-large-zh-v2"">piccolo-large-zh-v2</a>",,,70.0,89.31,90.14,33.39,67.15,zh,Reranking
2,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://platform.baichuan-ai.com/docs/text-Embedding"">Baichuan-text-embedding</a>",,,69.67,88.06,88.46,34.3,67.85,zh,Reranking
3,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-mrl-large-zh-v3.5-1792d"">stella-mrl-large-zh-v3.5-1792d</a>",326,1.21,68.45,89.33,89.18,28.85,66.43,zh,Reranking
4,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/TownsWu/PEG"">PEG</a>",163,0.61,68.41,84.09,86.56,33.55,69.43,zh,Reranking
5,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://help.aliyun.com/zh/open-search/vector-search-edition/hybrid-retrieval"">OpenSearch-text-hybrid</a>",,,68.27,88.99,89.6,28.12,66.38,zh,Reranking
6,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-large-zh-v3-1792d"">stella-large-zh-v3-1792d</a>",325,1.21,68.26,88.99,89.6,28.09,66.38,zh,Reranking
7,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Erin/IYun-large-zh"">IYun-large-zh</a>",,,68.08,88.57,88.9,28.24,66.62,zh,Reranking
8,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/aspire/acge_text_embedding"">acge_text_embedding</a>",326,1.21,67.98,88.66,88.9,27.76,66.62,zh,Reranking
9,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-base-zh-v3-1792d"">stella-base-zh-v3-1792d</a>",102,0.38,67.84,88.34,89.06,27.48,66.49,zh,Reranking
10,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/srikanthmalla/BAAI-bge-reranker-large"">BAAI-bge-reranker-large</a>",560,2.09,67.78,82.14,84.19,37.17,67.6,zh,Reranking
11,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Pristinenlp/alime-embedding-large-zh"">alime-embedding-large-zh</a>",326,1.21,67.61,86.52,87.11,30.63,66.18,zh,Reranking
12,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Pristinenlp/alime-reranker-large-zh"">alime-reranker-large-zh</a>",560,2.09,67.54,82.32,84.09,35.5,68.26,zh,Reranking
13,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thenlper/gte-large-zh"">gte-large-zh</a>",326,1.21,67.4,86.09,86.46,31.19,65.86,zh,Reranking
14,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/lier007/xiaobu-embedding"">xiaobu-embedding</a>",326,1.21,67.34,87.12,87.57,28.08,66.6,zh,Reranking
15,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/DMetaSoul/Dmeta-embedding-zh"">Dmeta-embedding-zh</a>",103,0.38,67.17,88.49,89.18,24.76,66.26,zh,Reranking
16,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-reranker-base"">bge-reranker-base</a>",278,1.04,67.03,81.27,84.1,35.46,67.28,zh,Reranking
17,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-reranker-large"">bge-reranker-large</a>",560,2.09,67.03,81.27,84.1,35.46,67.28,zh,Reranking
18,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thenlper/gte-base-zh"">gte-base-zh</a>",102,0.38,67.0,86.79,87.2,27.64,66.36,zh,Reranking
19,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-base-zh"">stella-base-zh</a>",51,0.19,66.95,85.69,86.46,29.2,66.46,zh,Reranking
20,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/DMetaSoul/Dmeta-embedding-zh-small"">Dmeta-embedding-zh-small</a>",74,0.28,66.92,86.78,87.39,27.39,66.11,zh,Reranking
21,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sensenova/piccolo-base-zh"">piccolo-base-zh</a>",51,0.19,66.68,85.25,86.15,28.87,66.46,zh,Reranking
22,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embeddings-v2-base-zh"">jina-embeddings-v2-base-zh</a>",161,0.6,66.57,83.64,83.74,31.54,67.37,zh,Reranking
23,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-large-zh-v2"">stella-large-zh-v2</a>",163,0.61,66.41,85.45,85.83,27.97,66.41,zh,Reranking
24,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/amu/tao"">tao</a>",163,0.61,66.39,85.34,85.87,27.96,66.38,zh,Reranking
25,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct"">gte-Qwen1.5-7B-instruct</a>",7099,26.45,66.38,86.37,87.41,23.64,68.11,zh,Reranking
26,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/amu/tao-8k"">tao-8k</a>",167,0.62,66.38,85.34,85.81,27.97,66.38,zh,Reranking
27,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thenlper/gte-small-zh"">gte-small-zh</a>",15,0.06,66.22,86.08,87.26,26.13,65.39,zh,Reranking
28,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-base-zh-v2"">stella-base-zh-v2</a>",51,0.19,66.1,84.7,85.31,28.05,66.35,zh,Reranking
29,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/akarum/cloudy-large-zh"">cloudy-large-zh</a>",326,1.21,66.04,86.1,86.95,24.26,66.83,zh,Reranking
30,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/wongctroman/hktv-fine-tuned-cloudy-large-zh-metaphor14"">hktv-fine-tuned-cloudy-large-zh-metaphor14</a>",326,1.21,66.04,86.1,86.95,24.26,66.83,zh,Reranking
31,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-large-zh"">stella-large-zh</a>",163,0.61,65.98,84.69,85.23,27.16,66.86,zh,Reranking
32,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sensenova/piccolo-large-zh"">piccolo-large-zh</a>",163,0.61,65.98,84.79,84.89,27.27,66.96,zh,Reranking
33,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Erin/mist-zh"">mist-zh</a>",51,0.19,65.89,84.67,85.27,27.84,65.79,zh,Reranking
34,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-large-zh-v1.5"">bge-large-zh-v1.5</a>",326,1.21,65.84,83.45,85.44,28.74,65.74,zh,Reranking
35,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-base-zh-v1.5"">bge-base-zh-v1.5</a>",102,0.38,65.4,80.47,84.88,29.74,66.49,zh,Reranking
36,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-large-zh-noinstruct"">bge-large-zh-noinstruct</a>",326,1.21,64.9,81.72,84.64,27.1,66.16,zh,Reranking
37,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/liujiarik/lim_base_zh"">lim_base_zh</a>",102,0.38,63.73,83.85,84.75,20.56,65.75,zh,Reranking
38,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ClayAtlas/winberta-large"">winberta-large</a>",,,63.2,78.39,80.84,27.29,66.3,zh,Reranking
39,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ClayAtlas/windberta-large"">windberta-large</a>",,,62.82,77.42,77.84,30.17,65.85,zh,Reranking
40,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-mistral-7b-instruct"">e5-mistral-7b-instruct</a>",7111,26.49,61.86,77.68,78.66,24.21,66.9,zh,Reranking
41,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentosa/ZNV-Embedding"">ZNV-Embedding</a>",6061,22.58,61.48,80.4,80.39,18.86,66.25,zh,Reranking
42,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ClayAtlas/winberta-base"">winberta-base</a>",,,61.35,76.47,77.44,24.31,67.18,zh,Reranking
43,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/neofung/m3e-ernie-xbase-zh"">m3e-ernie-xbase-zh</a>",,,60.96,80.66,79.31,19.57,64.31,zh,Reranking
44,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-small-zh-v1.5"">bge-small-zh-v1.5</a>",24,0.09,60.92,77.4,79.86,20.5,65.9,zh,Reranking
45,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/moka-ai/m3e-large"">m3e-large</a>",102,0.38,59.66,77.76,78.27,16.46,66.13,zh,Reranking
46,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/moka-ai/m3e-base"">m3e-base</a>",102,0.38,59.34,77.05,76.76,17.51,66.03,zh,Reranking
47,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-7b1"">udever-bloom-7b1</a>",7069,26.33,59.11,70.54,71.35,26.69,67.88,zh,Reranking
48,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-3b"">udever-bloom-3b</a>",3003,11.19,57.68,68.91,69.42,25.9,66.49,zh,Reranking
49,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-1b1"">udever-bloom-1b1</a>",,,56.27,66.06,66.96,26.14,65.94,zh,Reranking
50,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-large"">multilingual-e5-large</a>",560,2.09,56.0,68.25,68.56,21.34,65.83,zh,Reranking
51,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-base"">multilingual-e5-base</a>",278,1.04,54.35,65.21,66.06,21.76,64.39,zh,Reranking
52,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/new-and-improved-embedding-model"">text-embedding-ada-002</a>",,,54.28,63.08,64.02,23.39,66.65,zh,Reranking
53,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-small"">multilingual-e5-small</a>",118,0.44,53.86,63.44,62.41,24.33,65.24,zh,Reranking
54,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-560m"">udever-bloom-560m</a>",,,53.62,63.41,63.66,23.69,63.74,zh,Reranking
55,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/shibing624/text2vec-base-chinese"">text2vec-base-chinese</a>",102,0.38,49.45,59.26,59.82,12.76,65.95,zh,Reranking
56,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/silk-road/luotuo-bert-medium"">luotuo-bert-medium</a>",328,1.22,49.25,57.82,58.88,14.55,65.76,zh,Reranking
57,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/GanymedeNil/text2vec-large-chinese"">text2vec-large-chinese</a>",326,1.21,49.16,58.92,60.41,12.48,64.82,zh,Reranking
58,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/DMetaSoul/sbert-chinese-general-v1"">sbert-chinese-general-v1</a>",102,0.38,45.08,53.07,52.84,9.29,65.14,zh,Reranking
59,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/EdwardBurgin/paraphrase-multilingual-mpnet-base-v2"">paraphrase-multilingual-mpnet-base-v2</a>",,,44.91,50.19,50.39,14.57,64.49,zh,Reranking
60,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/facebook/SONAR"">SONAR</a>",,,32.84,34.31,35.88,5.83,55.35,zh,Reranking
61,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thtang/ALL_862873"">ALL_862873</a>",118,0.44,25.86,19.72,22.48,1.17,60.05,zh,Reranking
